\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),20.345010123954744,1
Cell 33 rooted in Path (33),21.255590911791682,1
Cell 5 rooted in Path (5),18.16546560670947,1
Cell 34 rooted in Path (34),48.64928879636641,1
Cell 2 rooted in Path (2),17.198508907711215,1
Cell 31 rooted in Path (31),39.16441731786353,1
Cell 3 rooted in Path (3),14.928228730921406,1
Cell 32 rooted in Path (32),2.243704317404631,1
Cell 1 rooted in Path (1),11.015034105155882,1
Cell 30 rooted in Path (30),17.90882640607185,1
Cell 8 rooted in Path (8),16.715030558212053,1
Cell 9 rooted in Path (9),15.611970369896868,1
Cell 6 rooted in Path (6),56.09850313593908,1
Cell 7 rooted in Path (7),18.44868066673238,1
Cell 28 rooted in Path (28),42.677085364676465,1
Cell 29 rooted in Path (29),20.63600907297566,1
Cell 26 rooted in Path (26),31.97184217892861,1
Cell 27 rooted in Path (27),12.911363562378256,1
Cell 24 rooted in Path (24),32.04378586808608,1
Cell 25 rooted in Path (25),9.447287537728645,1
Cell 22 rooted in Path (22),4.887935213761891,1
Cell 23 rooted in Path (23),5.836099942373078,1
Cell 20 rooted in Path (20),24.009349438080665,1
Cell 21 rooted in Path (21),14.188111180784578,1
Cell 19 rooted in Path (19),37.33224766080061,1
Cell 17 rooted in Path (17),4.158825745014132,1
Cell 18 rooted in Path (18),26.407949215189333,1
Cell 15 rooted in Path (15),22.113019980858294,1
Cell 16 rooted in Path (16),14.735749330443154,1
Cell 13 rooted in Path (13),20.609433213590485,1
Cell 14 rooted in Path (14),2.2249123470175256,1
Cell 11 rooted in Path (11),2.134176687472919,1
Cell 12 rooted in Path (12),18.475256526117548,1
Cell 53 rooted in Path (53),2.708390696516674,1
Cell 10 rooted in Path (10),40.23311775779553,1
Cell 51 rooted in Path (51),2.8632861562206626,1
Cell 52 rooted in Path (52),14.671589530283745,1
Cell 50 rooted in Path (50),18.437672585343318,1
Cell 48 rooted in Path (48),14.052007691467706,1
Cell 49 rooted in Path (49),14.188111180784578,1
Cell 46 rooted in Path (46),40.16439826102902,1
Cell 47 rooted in Path (47),27.575169203663933,1
Cell 44 rooted in Path (44),4.495192523807333,1
Cell 45 rooted in Path (45),3.7019232549001657,1
Cell 42 rooted in Path (42),13.9612720319231,1
Cell 43 rooted in Path (43),12.291781723562213,1
Cell 40 rooted in Path (40),7.532166110119145,1
Cell 41 rooted in Path (41),30.838981938837247,1
Cell 39 rooted in Path (39),22.422810900266334,1
Cell 37 rooted in Path (37),1.8509616274500758,1
Cell 38 rooted in Path (38),3.8114508848318662,1
Cell 35 rooted in Path (35),8.963809188229478,1
Cell 36 rooted in Path (36),8.215907749094622,1
