\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),22.906289249765486,1
Cell 11 rooted in Path (11),14.425958411035143,1
Cell 33 rooted in Path (33),7.815381170141982,1
Cell 5 rooted in Path (5),17.72735508698267,1
Cell 12 rooted in Path (12),42.26555070433482,1
Cell 34 rooted in Path (34),45.14762883094256,1
Cell 2 rooted in Path (2),32.86363099637847,1
Cell 31 rooted in Path (31),10.331292466180408,1
Cell 3 rooted in Path (3),19.404629284341645,1
Cell 10 rooted in Path (10),22.68723398990204,1
Cell 32 rooted in Path (32),19.16678205409107,1
Cell 1 rooted in Path (1),52.50610751097064,1
Cell 30 rooted in Path (30),29.361971030954585,1
Cell 8 rooted in Path (8),4.030506144695291,1
Cell 9 rooted in Path (9),37.46835115011753,1
Cell 6 rooted in Path (6),15.638546229282056,1
Cell 7 rooted in Path (7),38.89999422822787,1
Cell 28 rooted in Path (28),17.39877219718754,1
Cell 29 rooted in Path (29),37.69841449136998,1
Cell 26 rooted in Path (26),3.7848750254466923,1
Cell 27 rooted in Path (27),48.04849892793753,1
Cell 24 rooted in Path (24),40.4145890768847,1
Cell 25 rooted in Path (25),8.744753928366062,1
Cell 22 rooted in Path (22),9.511447337888058,1
Cell 23 rooted in Path (23),3.3467645057198356,1
Cell 20 rooted in Path (20),23.499295229196363,1
Cell 42 rooted in Path (42),18.675519815593866,1
Cell 21 rooted in Path (21),37.73277423975323,1
Cell 43 rooted in Path (43),13.606113282742811,1
Cell 40 rooted in Path (40),15.128492020397713,1
Cell 41 rooted in Path (41),18.10130580655008,1
Cell 19 rooted in Path (19),4.140033774627012,1
Cell 17 rooted in Path (17),36.22918747248546,1
Cell 39 rooted in Path (39),40.66022019613331,1
Cell 18 rooted in Path (18),29.335395171569424,1
Cell 15 rooted in Path (15),12.446677183266225,1
Cell 37 rooted in Path (37),12.136886263858193,1
Cell 16 rooted in Path (16),21.10069545208772,1
Cell 38 rooted in Path (38),8.763545898753186,1
Cell 13 rooted in Path (13),10.86013864545186,1
Cell 35 rooted in Path (35),13.020891192309957,1
Cell 14 rooted in Path (14),16.295712008872325,1
Cell 36 rooted in Path (36),13.98784789130827,1
