\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),3.3467645057198374,1
Cell 33 rooted in Path (33),5.635836652896771,1
Cell 5 rooted in Path (5),8.317651490028268,1
Cell 34 rooted in Path (34),5.307253763101624,1
Cell 2 rooted in Path (2),5.94562757230479,1
Cell 31 rooted in Path (31),12.000782774541308,1
Cell 3 rooted in Path (3),11.471936595269845,1
Cell 32 rooted in Path (32),22.460394841040554,1
Cell 1 rooted in Path (1),16.076656749008905,1
Cell 30 rooted in Path (30),17.088981277779503,1
Cell 8 rooted in Path (8),2.972813786152396,1
Cell 9 rooted in Path (9),11.80051948506499,1
Cell 6 rooted in Path (6),4.513984494194447,1
Cell 7 rooted in Path (7),6.009787372464206,1
Cell 28 rooted in Path (28),25.7617915169881,1
Cell 29 rooted in Path (29),2.070016887313505,1
Cell 26 rooted in Path (26),13.88932834276564,1
Cell 27 rooted in Path (27),4.140033774627025,1
Cell 24 rooted in Path (24),12.457685264655284,1
Cell 25 rooted in Path (25),6.893792300915981,1
Cell 22 rooted in Path (22),5.699996453056183,1
Cell 23 rooted in Path (23),2.179544517245201,1
Cell 20 rooted in Path (20),5.94562757230479,1
Cell 21 rooted in Path (21),3.1465012162435375,1
Cell 19 rooted in Path (19),1.696066167746075,1
Cell 17 rooted in Path (17),4.294929234331031,1
Cell 18 rooted in Path (18),2.1795445172452315,1
Cell 15 rooted in Path (15),2.5988630665849453,1
Cell 59 rooted in Path (59),18.365728896185843,1
Cell 16 rooted in Path (16),4.404456864262742,1
Cell 13 rooted in Path (13),21.274382882178813,1
Cell 57 rooted in Path (57),9.757078457136664,1
Cell 14 rooted in Path (14),2.224912347017521,1
Cell 58 rooted in Path (58),8.325435379026326,1
Cell 11 rooted in Path (11),5.526309022965056,1
Cell 55 rooted in Path (55),1.7602259679054835,1
Cell 12 rooted in Path (12),5.042830673465908,1
Cell 56 rooted in Path (56),15.622978451285928,1
Cell 53 rooted in Path (53),6.338370262259355,1
Cell 10 rooted in Path (10),15.831025629760314,1
Cell 54 rooted in Path (54),12.986531443926728,1
Cell 51 rooted in Path (51),11.936622974381882,1
Cell 52 rooted in Path (52),3.45629213565155,1
Cell 50 rooted in Path (50),2.2890721471769355,1
Cell 48 rooted in Path (48),11.827095344450173,1
Cell 49 rooted in Path (49),28.179183264483868,1
Cell 46 rooted in Path (46),9.484871478502876,1
Cell 47 rooted in Path (47),7.9702766298459995,1
Cell 44 rooted in Path (44),5.654628623283884,1
Cell 45 rooted in Path (45),9.383127737569225,1
Cell 42 rooted in Path (42),7.022111901234811,1
Cell 43 rooted in Path (43),5.900259742532494,1
Cell 40 rooted in Path (40),2.7725504966760868,1
Cell 41 rooted in Path (41),2.443967606880943,1
Cell 39 rooted in Path (39),7.286534990870543,1
Cell 37 rooted in Path (37),4.823775413602479,1
Cell 38 rooted in Path (38),4.094665944854717,1
Cell 35 rooted in Path (35),11.16214567586183,1
Cell 36 rooted in Path (36),11.162145675861828,1
