\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),3.1277092458563986,1
Cell 33 rooted in Path (33),10.50497989627155,1
Cell 5 rooted in Path (5),2.334439976949244,1
Cell 34 rooted in Path (34),17.428572248963707,1
Cell 2 rooted in Path (2),15.593178399509718,1
Cell 31 rooted in Path (31),3.301396675947543,1
Cell 3 rooted in Path (3),11.426568765497546,1
Cell 32 rooted in Path (32),7.048687760619998,1
Cell 1 rooted in Path (1),35.737925233988186,1
Cell 30 rooted in Path (30),14.527702151968802,1
Cell 8 rooted in Path (8),0.9027968988388896,1
Cell 9 rooted in Path (9),13.085050992469382,1
Cell 6 rooted in Path (6),38.75610684991289,1
Cell 7 rooted in Path (7),9.957341746612974,1
Cell 28 rooted in Path (28),23.36319173987944,1
Cell 29 rooted in Path (29),10.331292466180422,1
Cell 26 rooted in Path (26),10.24055680663582,1
Cell 27 rooted in Path (27),11.626832054973859,1
Cell 24 rooted in Path (24),4.404456864262747,1
Cell 25 rooted in Path (25),20.80191261406873,1
Cell 22 rooted in Path (22),10.614507526203253,1
Cell 23 rooted in Path (23),11.626832054973857,1
Cell 20 rooted in Path (20),13.878320261376532,1
Cell 21 rooted in Path (21),17.836882716914392,1
Cell 19 rooted in Path (19),8.261275578866911,1
Cell 17 rooted in Path (17),5.52630902296506,1
Cell 18 rooted in Path (18),12.355941523721624,1
Cell 15 rooted in Path (15),7.331902820642839,1
Cell 16 rooted in Path (16),15.211443790944251,1
Cell 13 rooted in Path (13),4.1588257450141235,1
Cell 14 rooted in Path (14),4.2041935747864265,1
Cell 11 rooted in Path (11),18.40331283696008,1
Cell 55 rooted in Path (55),5.790732112600786,1
Cell 12 rooted in Path (12),22.724817930676284,1
Cell 56 rooted in Path (56),3.9397704851507083,1
Cell 53 rooted in Path (53),2.9728137861523978,1
Cell 10 rooted in Path (10),16.469399438963464,1
Cell 54 rooted in Path (54),12.06494257470072,1
Cell 51 rooted in Path (51),3.018181615924696,1
Cell 52 rooted in Path (52),6.538633551735668,1
Cell 50 rooted in Path (50),2.5988630665849604,1
Cell 48 rooted in Path (48),3.9209785147635796,1
Cell 49 rooted in Path (49),3.7660830550595747,1
Cell 46 rooted in Path (46),4.185401604399308,1
Cell 47 rooted in Path (47),11.471936595269854,1
Cell 44 rooted in Path (44),4.377881004877561,1
Cell 45 rooted in Path (45),8.937233328844306,1
Cell 42 rooted in Path (42),6.028579342851326,1
Cell 43 rooted in Path (43),11.936622974381885,1
Cell 40 rooted in Path (40),8.280067549254028,1
Cell 41 rooted in Path (41),6.16468283216822,1
Cell 39 rooted in Path (39),3.237236875788128,1
Cell 37 rooted in Path (37),4.77840758383017,1
Cell 38 rooted in Path (38),3.0369735863118175,1
Cell 35 rooted in Path (35),11.124561735087592,1
Cell 36 rooted in Path (36),3.5016599654238427,1
