\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),4.559352324,1
Cell 33 rooted in Path (33),23.22708825,1
Cell 77 rooted in Path (77),2.224912347,1
Cell 5 rooted in Path (5),5.307253763,1
Cell 34 rooted in Path (34),5.171150274,1
Cell 78 rooted in Path (78),4.359089034,1
Cell 2 rooted in Path (2),2.908653986,1
Cell 31 rooted in Path (31),11.80051949,1
Cell 75 rooted in Path (75),3.456292136,1
Cell 3 rooted in Path (3),14.53548604,1
Cell 32 rooted in Path (32),9.209440307,1
Cell 76 rooted in Path (76),4.842567384,1
Cell 73 rooted in Path (73),6.145890862,1
Cell 1 rooted in Path (1),5.243093963,1
Cell 30 rooted in Path (30),1.167219988,1
Cell 74 rooted in Path (74),2.863286156,1
Cell 71 rooted in Path (71),4.823775414,1
Cell 72 rooted in Path (72),5.480941193,1
Cell 70 rooted in Path (70),8.790121758,1
Cell 8 rooted in Path (8),4.887935214,1
Cell 9 rooted in Path (9),13.56074545,1
Cell 6 rooted in Path (6),2.134176687,1
Cell 7 rooted in Path (7),3.875610685,1
Cell 28 rooted in Path (28),3.018181616,1
Cell 29 rooted in Path (29),18.12009778,1
Cell 26 rooted in Path (26),17.06240542,1
Cell 27 rooted in Path (27),6.228842632,1
Cell 24 rooted in Path (24),2.179544517,1
Cell 68 rooted in Path (68),3.501659965,1
Cell 25 rooted in Path (25),6.274210462,1
Cell 69 rooted in Path (69),6.867216442,1
Cell 22 rooted in Path (22),2.224912347,1
Cell 66 rooted in Path (66),4.359089034,1
Cell 23 rooted in Path (23),2.663022867,1
Cell 67 rooted in Path (67),9.265816219,1
Cell 20 rooted in Path (20),6.319578292,1
Cell 64 rooted in Path (64),13.67805697,1
Cell 21 rooted in Path (21),3.875610685,1
Cell 65 rooted in Path (65),13.65148111,1
Cell 62 rooted in Path (62),4.249561405,1
Cell 63 rooted in Path (63),9.118704648,1
Cell 60 rooted in Path (60),1.760225968,1
Cell 61 rooted in Path (61),1.805593798,1
Cell 19 rooted in Path (19),6.602793352,1
Cell 17 rooted in Path (17),6.319578292,1
Cell 18 rooted in Path (18),15.54002668,1
Cell 15 rooted in Path (15),6.009787372,1
Cell 59 rooted in Path (59),5.462149223,1
Cell 16 rooted in Path (16),10.6974593,1
Cell 13 rooted in Path (13),6.474473752,1
Cell 57 rooted in Path (57),9.511447338,1
Cell 14 rooted in Path (14),3.392132335,1
Cell 58 rooted in Path (58),4.823775414,1
Cell 11 rooted in Path (11),1.431643078,1
Cell 55 rooted in Path (55),4.513984494,1
Cell 12 rooted in Path (12),7.57753394,1
Cell 56 rooted in Path (56),6.364946122,1
Cell 53 rooted in Path (53),14.34300664,1
Cell 10 rooted in Path (10),3.456292136,1
Cell 54 rooted in Path (54),5.243093963,1
Cell 51 rooted in Path (51),3.256028846,1
Cell 52 rooted in Path (52),5.926835602,1
Cell 50 rooted in Path (50),3.565819766,1
Cell 48 rooted in Path (48),3.392132335,1
Cell 49 rooted in Path (49),2.398599777,1
Cell 46 rooted in Path (46),1.960489257,1
Cell 47 rooted in Path (47),12.42010132,1
Cell 44 rooted in Path (44),4.030506145,1
Cell 45 rooted in Path (45),3.875610685,1
Cell 42 rooted in Path (42),2.972813786,1
Cell 86 rooted in Path (86),1.696066168,1
Cell 43 rooted in Path (43),3.611187595,1
Cell 87 rooted in Path (87),3.036973586,1
Cell 40 rooted in Path (40),8.982601159,1
Cell 84 rooted in Path (84),8.09859623,1
Cell 41 rooted in Path (41),24.34894041,1
Cell 85 rooted in Path (85),5.152358303,1
Cell 82 rooted in Path (82),3.920978515,1
Cell 83 rooted in Path (83),3.127709246,1
Cell 80 rooted in Path (80),8.07980426,1
Cell 81 rooted in Path (81),2.882078127,1
Cell 39 rooted in Path (39),5.790732113,1
Cell 37 rooted in Path (37),6.939160131,1
Cell 38 rooted in Path (38),3.346764506,1
Cell 35 rooted in Path (35),4.623512124,1
Cell 79 rooted in Path (79),5.945627572,1
Cell 36 rooted in Path (36),12.92237164,1
,560.8669375,
