\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),24.00156555,1
Cell 33 rooted in Path (33),4.003930285,1
Cell 5 rooted in Path (5),4.003930285,1
Cell 34 rooted in Path (34),5.790732113,1
Cell 2 rooted in Path (2),6.519841581,1
Cell 31 rooted in Path (31),5.990995402,1
Cell 3 rooted in Path (3),2.972813786,1
Cell 32 rooted in Path (32),8.635226298,1
Cell 1 rooted in Path (1),21.93154866,1
Cell 30 rooted in Path (30),5.945627572,1
Cell 8 rooted in Path (8),11.05261805,1
Cell 9 rooted in Path (9),3.173077076,1
Cell 6 rooted in Path (6),0.902796899,1
Cell 7 rooted in Path (7),2.224912347,1
Cell 28 rooted in Path (28),2.243704317,1
Cell 29 rooted in Path (29),2.708390697,1
Cell 26 rooted in Path (26),21.51223011,1
Cell 27 rooted in Path (27),3.565819766,1
Cell 24 rooted in Path (24),2.289072147,1
Cell 25 rooted in Path (25),3.784875025,1
Cell 22 rooted in Path (22),2.179544517,1
Cell 23 rooted in Path (23),1.386275248,1
Cell 20 rooted in Path (20),7.040903872,1
Cell 21 rooted in Path (21),2.927445956,1
Cell 19 rooted in Path (19),3.830242855,1
Cell 17 rooted in Path (17),3.082341416,1
Cell 18 rooted in Path (18),4.294929234,1
Cell 15 rooted in Path (15),5.462149223,1
Cell 16 rooted in Path (16),3.830242855,1
Cell 13 rooted in Path (13),5.726572312,1
Cell 14 rooted in Path (14),1.696066168,1
Cell 55 rooted in Path (55),2.379807807,1
Cell 56 rooted in Path (56),6.474473752,1
Cell 53 rooted in Path (53),10.94309042,1
Cell 54 rooted in Path (54),2.289072147,1
Cell 100 rooted in Path (100),6.429105922,1
Cell 51 rooted in Path (51),5.280677904,1
Cell 101 rooted in Path (101),18.03714601,1
Cell 52 rooted in Path (52),4.049298115,1
Cell 102 rooted in Path (102),2.508127407,1
Cell 103 rooted in Path (103),3.985138315,1
Cell 50 rooted in Path (50),2.663022867,1
Cell 104 rooted in Path (104),3.036973586,1
Cell 105 rooted in Path (105),5.352621593,1
Cell 106 rooted in Path (106),15.32875531,1
Cell 107 rooted in Path (107),18.69431179,1
Cell 108 rooted in Path (108),5.152358303,1
Cell 109 rooted in Path (109),5.243093963,1
Cell 48 rooted in Path (48),8.12517209,1
Cell 49 rooted in Path (49),5.106990474,1
Cell 46 rooted in Path (46),6.957952101,1
Cell 47 rooted in Path (47),1.915121428,1
Cell 44 rooted in Path (44),3.830242855,1
Cell 45 rooted in Path (45),4.030506145,1
Cell 42 rooted in Path (42),5.945627572,1
