\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),5.900259743,1
Cell 33 rooted in Path (33),2.024649058,1
Cell 5 rooted in Path (5),8.963809188,1
Cell 34 rooted in Path (34),14.57306998,1
Cell 2 rooted in Path (2),28.80654899,1
Cell 31 rooted in Path (31),3.301396676,1
Cell 3 rooted in Path (3),4.687671924,1
Cell 32 rooted in Path (32),25.15321776,1
Cell 73 rooted in Path (73),2.070016887,1
Cell 1 rooted in Path (1),16.53355924,1
Cell 30 rooted in Path (30),10.90550648,1
Cell 74 rooted in Path (74),3.301396676,1
Cell 71 rooted in Path (71),2.179544517,1
Cell 72 rooted in Path (72),2.443967607,1
Cell 70 rooted in Path (70),1.276747618,1
Cell 8 rooted in Path (8),5.152358303,1
Cell 9 rooted in Path (9),4.623512124,1
Cell 6 rooted in Path (6),8.544490639,1
Cell 7 rooted in Path (7),7.086271701,1
Cell 28 rooted in Path (28),13.0131073,1
Cell 29 rooted in Path (29),22.83434556,1
Cell 26 rooted in Path (26),16.85113405,1
Cell 27 rooted in Path (27),26.32499744,1
Cell 24 rooted in Path (24),1.386275248,1
Cell 68 rooted in Path (68),2.863286156,1
Cell 25 rooted in Path (25),6.565209411,1
Cell 69 rooted in Path (69),1.915121428,1
Cell 22 rooted in Path (22),6.867216442,1
Cell 66 rooted in Path (66),2.753758526,1
Cell 23 rooted in Path (23),3.565819766,1
Cell 67 rooted in Path (67),5.526309023,1
Cell 20 rooted in Path (20),3.456292136,1
Cell 64 rooted in Path (64),13.7234248,1
Cell 21 rooted in Path (21),6.228842632,1
Cell 65 rooted in Path (65),5.016254814,1
Cell 62 rooted in Path (62),2.663022867,1
Cell 63 rooted in Path (63),12.33714955,1
Cell 60 rooted in Path (60),3.256028846,1
Cell 61 rooted in Path (61),2.817918326,1
Cell 19 rooted in Path (19),3.565819766,1
Cell 17 rooted in Path (17),15.41170708,1
Cell 18 rooted in Path (18),27.78644057,1
Cell 15 rooted in Path (15),2.708390697,1
Cell 59 rooted in Path (59),4.140033775,1
Cell 16 rooted in Path (16),1.586538538,1
Cell 13 rooted in Path (13),11.64562403,1
Cell 57 rooted in Path (57),7.53216611,1
Cell 14 rooted in Path (14),2.927445956,1
Cell 58 rooted in Path (58),4.668879954,1
Cell 11 rooted in Path (11),1.915121428,1
Cell 55 rooted in Path (55),14.26327906,1
Cell 12 rooted in Path (12),16.8167743,1
Cell 56 rooted in Path (56),6.028579343,1
Cell 53 rooted in Path (53),8.654018269,1
Cell 10 rooted in Path (10),3.766083055,1
Cell 54 rooted in Path (54),6.957952101,1
Cell 51 rooted in Path (51),14.65279756,1
Cell 52 rooted in Path (52),4.313721205,1
Cell 50 rooted in Path (50),15.16607596,1
Cell 48 rooted in Path (48),3.985138315,1
Cell 49 rooted in Path (49),1.760225968,1
Cell 46 rooted in Path (46),1.805593798,1
Cell 47 rooted in Path (47),7.241167161,1
Cell 44 rooted in Path (44),2.972813786,1
Cell 45 rooted in Path (45),3.237236876,1
Cell 42 rooted in Path (42),5.152358303,1
Cell 43 rooted in Path (43),3.346764506,1
Cell 40 rooted in Path (40),6.228842632,1
Cell 41 rooted in Path (41),2.553495237,1
Cell 39 rooted in Path (39),11.86467929,1
Cell 37 rooted in Path (37),2.817918326,1
Cell 38 rooted in Path (38),1.960489257,1
Cell 35 rooted in Path (35),1.276747618,1
Cell 36 rooted in Path (36),3.082341416,1
,551.2867707,
