\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),8.736970039,1
Cell 33 rooted in Path (33),4.887935214,1
Cell 5 rooted in Path (5),7.90611683,1
Cell 34 rooted in Path (34),5.945627572,1
Cell 2 rooted in Path (2),2.927445956,1
Cell 31 rooted in Path (31),8.061012289,1
Cell 3 rooted in Path (3),4.094665945,1
Cell 32 rooted in Path (32),4.404456864,1
Cell 1 rooted in Path (1),43.50793857,1
Cell 30 rooted in Path (30),10.07787746,1
Cell 8 rooted in Path (8),5.288461793,1
Cell 9 rooted in Path (9),2.224912347,1
Cell 6 rooted in Path (6),3.082341416,1
Cell 7 rooted in Path (7),7.51337414,1
Cell 28 rooted in Path (28),3.127709246,1
Cell 29 rooted in Path (29),23.55567114,1
Cell 26 rooted in Path (26),23.00803299,1
Cell 27 rooted in Path (27),5.462149223,1
Cell 24 rooted in Path (24),22.14282003,1
Cell 25 rooted in Path (25),2.972813786,1
Cell 22 rooted in Path (22),2.289072147,1
Cell 23 rooted in Path (23),1.805593798,1
Cell 20 rooted in Path (20),16.8167743,1
Cell 21 rooted in Path (21),4.842567384,1
Cell 60 rooted in Path (60),1.586538538,1
Cell 19 rooted in Path (19),4.714247784,1
Cell 17 rooted in Path (17),8.782337869,1
Cell 18 rooted in Path (18),1.650698338,1
Cell 15 rooted in Path (15),3.985138315,1
Cell 59 rooted in Path (59),6.364946122,1
Cell 16 rooted in Path (16),35.20907905,1
Cell 13 rooted in Path (13),16.58671096,1
Cell 57 rooted in Path (57),2.663022867,1
Cell 14 rooted in Path (14),3.720715225,1
Cell 58 rooted in Path (58),2.908653986,1
Cell 11 rooted in Path (11),6.821848612,1
Cell 55 rooted in Path (55),2.024649058,1
Cell 12 rooted in Path (12),4.140033775,1
Cell 56 rooted in Path (56),1.012324529,1
Cell 53 rooted in Path (53),6.629369211,1
Cell 10 rooted in Path (10),4.185401604,1
Cell 54 rooted in Path (54),3.656555425,1
Cell 51 rooted in Path (51),3.392132335,1
Cell 52 rooted in Path (52),6.629369211,1
Cell 50 rooted in Path (50),7.195799331,1
Cell 48 rooted in Path (48),5.990995402,1
Cell 49 rooted in Path (49),3.894402655,1
Cell 46 rooted in Path (46),1.012324529,1
Cell 47 rooted in Path (47),13.73443288,1
Cell 44 rooted in Path (44),1.760225968,1
Cell 45 rooted in Path (45),5.106990474,1
Cell 42 rooted in Path (42),3.565819766,1
Cell 43 rooted in Path (43),4.449824694,1
Cell 40 rooted in Path (40),2.115384717,1
Cell 41 rooted in Path (41),4.578144294,1
Cell 39 rooted in Path (39),1.322115448,1
Cell 37 rooted in Path (37),13.95348814,1
Cell 38 rooted in Path (38),11.14335371,1
Cell 35 rooted in Path (35),18.43767259,1
Cell 36 rooted in Path (36),18.01057015,1
,467.617658,
