\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),7.177007361,1
Cell 33 rooted in Path (33),8.654018269,1
Cell 5 rooted in Path (5),30.4118795,1
Cell 34 rooted in Path (34),9.337759908,1
Cell 2 rooted in Path (2),10.47840404,1
Cell 31 rooted in Path (31),19.70663631,1
Cell 3 rooted in Path (3),4.952095014,1
Cell 32 rooted in Path (32),2.489335437,1
Cell 1 rooted in Path (1),26.66458842,1
Cell 30 rooted in Path (30),24.57577956,1
Cell 8 rooted in Path (8),1.915121428,1
Cell 9 rooted in Path (9),16.46161555,1
Cell 6 rooted in Path (6),3.301396676,1
Cell 7 rooted in Path (7),5.042830673,1
Cell 28 rooted in Path (28),2.772550497,1
Cell 29 rooted in Path (29),3.127709246,1
Cell 26 rooted in Path (26),2.489335437,1
Cell 27 rooted in Path (27),10.14982115,1
Cell 24 rooted in Path (24),7.81538117,1
Cell 25 rooted in Path (25),11.664416,1
Cell 22 rooted in Path (22),6.164682832,1
Cell 23 rooted in Path (23),10.10445332,1
Cell 20 rooted in Path (20),16.65087076,1
Cell 21 rooted in Path (21),11.69099186,1
Cell 62 rooted in Path (62),10.30471661,1
Cell 60 rooted in Path (60),10.36887641,1
Cell 61 rooted in Path (61),12.83941987,1
Cell 19 rooted in Path (19),18.89457508,1
Cell 17 rooted in Path (17),21.31975071,1
Cell 18 rooted in Path (18),0.793269269,1
Cell 15 rooted in Path (15),29.83766549,1
Cell 59 rooted in Path (59),2.224912347,1
Cell 16 rooted in Path (16),5.635836653,1
Cell 13 rooted in Path (13),4.733039754,1
Cell 57 rooted in Path (57),3.410924306,1
Cell 14 rooted in Path (14),26.50969296,1
Cell 58 rooted in Path (58),6.009787372,1
Cell 11 rooted in Path (11),41.32839406,1
Cell 55 rooted in Path (55),2.772550497,1
Cell 12 rooted in Path (12),8.25349169,1
Cell 56 rooted in Path (56),2.443967607,1
Cell 53 rooted in Path (53),19.15121428,1
Cell 10 rooted in Path (10),1.650698338,1
Cell 54 rooted in Path (54),2.443967607,1
Cell 51 rooted in Path (51),26.98216322,1
Cell 52 rooted in Path (52),4.823775414,1
Cell 50 rooted in Path (50),1.650698338,1
Cell 48 rooted in Path (48),8.01564446,1
Cell 49 rooted in Path (49),1.915121428,1
Cell 46 rooted in Path (46),32.41773659,1
Cell 47 rooted in Path (47),2.863286156,1
Cell 44 rooted in Path (44),3.830242855,1
Cell 45 rooted in Path (45),2.772550497,1
Cell 42 rooted in Path (42),4.423248835,1
Cell 43 rooted in Path (43),2.708390697,1
Cell 40 rooted in Path (40),6.538633552,1
Cell 41 rooted in Path (41),7.040903872,1
Cell 39 rooted in Path (39),5.152358303,1
Cell 37 rooted in Path (37),6.119315002,1
Cell 38 rooted in Path (38),23.47271937,1
Cell 35 rooted in Path (35),2.772550497,1
Cell 36 rooted in Path (36),2.708390697,1
,630.9331611,
