\,Branch length (µm) [Single value],No. of compartments
Cell 77 rooted in Path (77),40.95121915,1
Cell 78 rooted in Path (78),11.16992956,1
Cell 75 rooted in Path (75),30.64650254,1
Cell 76 rooted in Path (76),13.16800276,1
Cell 73 rooted in Path (73),20.33400204,1
Cell 74 rooted in Path (74),2.224912347,1
Cell 71 rooted in Path (71),16.63207879,1
Cell 72 rooted in Path (72),10.64108339,1
Cell 80 rooted in Path (80),8.25349169,1
Cell 70 rooted in Path (70),5.617044683,1
Cell 68 rooted in Path (68),14.36179861,1
Cell 79 rooted in Path (79),19.42342125,1
Cell 69 rooted in Path (69),3.920978515,1
,197.3444653,
