\,Branch length (µm) [Single value],No. of compartments
Cell 55 rooted in Path (55),24.05471727,1
Cell 56 rooted in Path (56),31.28487635,1
Cell 64 rooted in Path (64),21.3916944,1
Cell 54 rooted in Path (54),7.62290177,1
Cell 65 rooted in Path (65),8.635226298,1
Cell 62 rooted in Path (62),47.11590198,1
Cell 63 rooted in Path (63),4.449824694,1
Cell 60 rooted in Path (60),2.863286156,1
Cell 61 rooted in Path (61),13.34947408,1
Cell 59 rooted in Path (59),17.22508477,1
Cell 57 rooted in Path (57),21.3275346,1
Cell 58 rooted in Path (58),23.81687004,1
,223.1373924,
