\,Branch length (µm) [Single value],No. of compartments
Cell 99 rooted in Path (99),4.185401604,1
Cell 97 rooted in Path (97),12.62036461,1
Cell 98 rooted in Path (98),16.14860044,1
Cell 100 rooted in Path (100),18.12788167,1
Cell 95 rooted in Path (95),6.738896841,1
Cell 101 rooted in Path (101),5.617044683,1
Cell 96 rooted in Path (96),21.13827939,1
Cell 102 rooted in Path (102),9.364335767,1
Cell 103 rooted in Path (103),21.65611749,1
Cell 104 rooted in Path (104),17.142133,1
Cell 105 rooted in Path (105),10.26713267,1
Cell 106 rooted in Path (106),9.538023197,1
,152.5442114,
