\,Branch length (µm) [Single value],No. of compartments
Cell 55 rooted in Path (55),14.12395138,1
Cell 56 rooted in Path (56),8.416171039,1
Cell 53 rooted in Path (53),8.589858469,1
Cell 54 rooted in Path (54),10.59571556,1
Cell 51 rooted in Path (51),2.115384717,1
Cell 52 rooted in Path (52),4.140033775,1
Cell 50 rooted in Path (50),2.753758526,1
Cell 48 rooted in Path (48),12.91136356,1
Cell 49 rooted in Path (49),8.370803209,1
Cell 57 rooted in Path (57),6.784264671,1
Cell 58 rooted in Path (58),3.346764506,1
,82.14806941,
