\,Branch length (µm) [Single value],No. of compartments
Cell 66 rooted in Path (66),4.230769434,1
Cell 67 rooted in Path (67),10.79597885,1
Cell 64 rooted in Path (64),2.708390697,1
Cell 65 rooted in Path (65),2.334439977,1
Cell 62 rooted in Path (62),3.437500165,1
Cell 63 rooted in Path (63),4.185401604,1
Cell 71 rooted in Path (71),9.137496618,1
Cell 70 rooted in Path (70),1.960489257,1
Cell 68 rooted in Path (68),11.14335371,1
Cell 69 rooted in Path (69),3.127709246,1
,53.06152955,
