\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),7.48679828,1
Cell 33 rooted in Path (33),18.87578311,1
Cell 77 rooted in Path (77),11.20751351,1
Cell 5 rooted in Path (5),14.00663986,1
Cell 34 rooted in Path (34),5.900259743,1
Cell 78 rooted in Path (78),6.274210462,1
Cell 2 rooted in Path (2),11.16214568,1
Cell 31 rooted in Path (31),5.990995402,1
Cell 75 rooted in Path (75),7.59632591,1
Cell 3 rooted in Path (3),1.915121428,1
Cell 32 rooted in Path (32),3.875610685,1
Cell 76 rooted in Path (76),12.55620481,1
Cell 73 rooted in Path (73),11.56267225,1
Cell 1 rooted in Path (1),22.89850536,1
Cell 30 rooted in Path (30),3.301396676,1
Cell 74 rooted in Path (74),3.501659965,1
Cell 71 rooted in Path (71),3.720715225,1
Cell 72 rooted in Path (72),8.03443643,1
Cell 70 rooted in Path (70),5.171150274,1
Cell 8 rooted in Path (8),5.745364283,1
Cell 9 rooted in Path (9),3.920978515,1
Cell 6 rooted in Path (6),19.22315797,1
Cell 7 rooted in Path (7),1.960489257,1
Cell 28 rooted in Path (28),5.635836653,1
Cell 29 rooted in Path (29),3.520451936,1
Cell 26 rooted in Path (26),2.134176687,1
Cell 27 rooted in Path (27),2.972813786,1
Cell 24 rooted in Path (24),4.449824694,1
Cell 68 rooted in Path (68),10.6332995,1
Cell 25 rooted in Path (25),3.082341416,1
Cell 69 rooted in Path (69),7.086271701,1
Cell 22 rooted in Path (22),2.553495237,1
Cell 66 rooted in Path (66),10.24055681,1
Cell 23 rooted in Path (23),3.501659965,1
Cell 67 rooted in Path (67),4.030506145,1
Cell 20 rooted in Path (20),3.501659965,1
Cell 64 rooted in Path (64),16.5601351,1
Cell 21 rooted in Path (21),19.19658211,1
Cell 65 rooted in Path (65),4.513984494,1
Cell 62 rooted in Path (62),4.423248835,1
Cell 63 rooted in Path (63),4.268353375,1
Cell 60 rooted in Path (60),2.882078127,1
Cell 61 rooted in Path (61),5.635836653,1
Cell 19 rooted in Path (19),3.766083055,1
Cell 17 rooted in Path (17),8.170539919,1
Cell 18 rooted in Path (18),7.131639531,1
Cell 15 rooted in Path (15),5.590468823,1
Cell 59 rooted in Path (59),12.8206279,1
Cell 16 rooted in Path (16),4.140033775,1
Cell 13 rooted in Path (13),20.43574578,1
Cell 57 rooted in Path (57),12.70331638,1
Cell 14 rooted in Path (14),6.565209411,1
Cell 58 rooted in Path (58),11.18872154,1
Cell 11 rooted in Path (11),1.586538538,1
Cell 55 rooted in Path (55),4.668879954,1
Cell 12 rooted in Path (12),2.115384717,1
Cell 56 rooted in Path (56),24.09230121,1
Cell 53 rooted in Path (53),4.249561405,1
Cell 10 rooted in Path (10),1.322115448,1
Cell 54 rooted in Path (54),2.334439977,1
Cell 51 rooted in Path (51),3.018181616,1
Cell 52 rooted in Path (52),3.082341416,1
Cell 50 rooted in Path (50),3.501659965,1
Cell 48 rooted in Path (48),17.35340437,1
Cell 49 rooted in Path (49),17.06240542,1
Cell 46 rooted in Path (46),3.127709246,1
Cell 47 rooted in Path (47),2.334439977,1
Cell 44 rooted in Path (44),2.708390697,1
Cell 45 rooted in Path (45),5.371413563,1
Cell 42 rooted in Path (42),5.926835602,1
Cell 86 rooted in Path (86),2.708390697,1
Cell 43 rooted in Path (43),15.21144379,1
Cell 40 rooted in Path (40),5.416781393,1
Cell 84 rooted in Path (84),2.134176687,1
Cell 41 rooted in Path (41),12.11809429,1
Cell 85 rooted in Path (85),2.179544517,1
Cell 82 rooted in Path (82),5.061622644,1
Cell 83 rooted in Path (83),2.024649058,1
Cell 80 rooted in Path (80),5.662412512,1
Cell 81 rooted in Path (81),15.23801965,1
Cell 39 rooted in Path (39),23.31782391,1
Cell 37 rooted in Path (37),15.13627591,1
Cell 38 rooted in Path (38),13.56852934,1
Cell 35 rooted in Path (35),20.12595486,1
Cell 79 rooted in Path (79),7.048687761,1
Cell 36 rooted in Path (36),16.96066168,1
,676.9927062,
