\,Branch length (µm) [Single value],No. of compartments,Branch length (µm) [Sum]
Cell 4 rooted in Path (4),1.696066168,1,null
Cell 33 rooted in Path (33),1.960489257,1,null
Cell 5 rooted in Path (5),11.16214568,1,null
Cell 34 rooted in Path (34),4.204193575,1,null
Cell 2 rooted in Path (2),15.0111805,1,null
Cell 31 rooted in Path (31),18.98853493,1,null
Cell 3 rooted in Path (3),3.611187595,1,null
Cell 32 rooted in Path (32),21.24780702,1,null
Cell 1 rooted in Path (1),16.7526145,1,null
Cell 30 rooted in Path (30),10.74282713,1,null
Cell 70 rooted in Path (70),2.024649058,1,null
Cell 8 rooted in Path (8),13.96127203,1,null
Cell 9 rooted in Path (9),13.63268914,1,null
Cell 6 rooted in Path (6),5.416781393,1,null
Cell 7 rooted in Path (7),1.805593798,1,null
,,,
Cell 29 rooted in Path (29),3.191869046,1,null
Cell 26 rooted in Path (26),4.049298115,1,null
Cell 27 rooted in Path (27),1.012324529,1,null
Cell 24 rooted in Path (24),4.887935214,1,null
Cell 68 rooted in Path (68),2.489335437,1,null
Cell 25 rooted in Path (25),8.827705699,1,null
Cell 69 rooted in Path (69),2.598863067,1,null
Cell 22 rooted in Path (22),2.772550497,1,null
Cell 66 rooted in Path (66),3.146501216,1,null
Cell 23 rooted in Path (23),22.38845115,1,null
Cell 67 rooted in Path (67),2.070016887,1,null
Cell 20 rooted in Path (20),11.00725022,1,null
Cell 64 rooted in Path (64),7.022111901,1,null
Cell 21 rooted in Path (21),5.216518104,1,null
Cell 65 rooted in Path (65),2.863286156,1,null
Cell 62 rooted in Path (62),7.81538117,1,null
Cell 63 rooted in Path (63),7.94370077,1,null
Cell 60 rooted in Path (60),10.43303621,1,null
Cell 61 rooted in Path (61),1.541170708,1,null
Cell 19 rooted in Path (19),4.185401604,1,null
Cell 17 rooted in Path (17),2.927445956,1,null
Cell 18 rooted in Path (18),3.985138315,1,null
Cell 15 rooted in Path (15),3.392132335,1,null
Cell 59 rooted in Path (59),18.91336705,1,null
Cell 16 rooted in Path (16),19.89911572,1,null
Cell 13 rooted in Path (13),5.462149223,1,null
Cell 57 rooted in Path (57),1.586538538,1,null
Cell 14 rooted in Path (14),2.398599777,1,null
Cell 58 rooted in Path (58),1.012324529,1,null
Cell 11 rooted in Path (11),14.68259761,1,null
Cell 55 rooted in Path (55),3.501659965,1,null
Cell 12 rooted in Path (12),3.830242855,1,null
Cell 56 rooted in Path (56),1.696066168,1,null
Cell 53 rooted in Path (53),8.12517209,1,null
Cell 10 rooted in Path (10),5.042830673,1,null
Cell 54 rooted in Path (54),3.565819766,1,null
Cell 51 rooted in Path (51),5.416781393,1,null
Cell 52 rooted in Path (52),3.565819766,1,null
Cell 50 rooted in Path (50),13.19457862,1,null
Cell 48 rooted in Path (48),1.276747618,1,null
Cell 49 rooted in Path (49),6.757688812,1,null
Cell 46 rooted in Path (46),2.070016887,1,null
Cell 47 rooted in Path (47),2.863286156,1,null
Cell 44 rooted in Path (44),6.538633552,1,null
Cell 45 rooted in Path (45),4.714247784,1,null
Cell 42 rooted in Path (42),3.501659965,1,null
Cell 43 rooted in Path (43),5.261885933,1,null
Cell 40 rooted in Path (40),10.16861312,1,null
Cell 41 rooted in Path (41),4.249561405,1,null
Cell 39 rooted in Path (39),3.301396676,1,null
Cell 37 rooted in Path (37),3.456292136,1,null
Cell 38 rooted in Path (38),1.915121428,1,null
Cell 35 rooted in Path (35),4.030506145,1,null
Cell 36 rooted in Path (36),16.38644767,1,null
,456.3712251,,
