\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),20.35279401,1
Cell 11 rooted in Path (11),1.650698338,1
Cell 5 rooted in Path (5),14.21791123,1
Cell 12 rooted in Path (12),11.86467929,1
Cell 2 rooted in Path (2),2.817918326,1
Cell 3 rooted in Path (3),16.67744662,1
Cell 10 rooted in Path (10),6.738896841,1
Cell 1 rooted in Path (1),28.63286156,1
Cell 8 rooted in Path (8),3.830242855,1
Cell 9 rooted in Path (9),16.77919036,1
Cell 6 rooted in Path (6),14.18032729,1
Cell 7 rooted in Path (7),3.127709246,1
,140.870676,
