\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),10.13102918,1
Cell 11 rooted in Path (11),4.140033775,1
Cell 5 rooted in Path (5),3.875610685,1
Cell 12 rooted in Path (12),1.650698338,1
Cell 2 rooted in Path (2),8.12517209,1
Cell 3 rooted in Path (3),4.003930285,1
Cell 10 rooted in Path (10),13.39484191,1
Cell 1 rooted in Path (1),5.106990474,1
Cell 8 rooted in Path (8),5.371413563,1
Cell 9 rooted in Path (9),15.30217945,1
Cell 6 rooted in Path (6),16.42403161,1
Cell 7 rooted in Path (7),12.21983803,1
Cell 13 rooted in Path (13),10.14982115,1
,109.8955905,
