\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),7.84195703,1
Cell 11 rooted in Path (11),1.586538538,1
Cell 5 rooted in Path (5),21.84859689,1
Cell 12 rooted in Path (12),2.663022867,1
Cell 2 rooted in Path (2),12.23863,1
Cell 3 rooted in Path (3),2.972813786,1
Cell 10 rooted in Path (10),6.648161182,1
Cell 1 rooted in Path (1),17.72735509,1
Cell 8 rooted in Path (8),6.429105922,1
Cell 9 rooted in Path (9),2.334439977,1
Cell 6 rooted in Path (6),9.337759908,1
Cell 7 rooted in Path (7),17.83688272,1
Cell 28 rooted in Path (28),6.693529011,1
Cell 29 rooted in Path (29),6.629369211,1
Cell 26 rooted in Path (26),1.431643078,1
Cell 27 rooted in Path (27),6.338370262,1
Cell 24 rooted in Path (24),15.98592109,1
Cell 25 rooted in Path (25),2.334439977,1
Cell 22 rooted in Path (22),2.772550497,1
Cell 23 rooted in Path (23),2.972813786,1
Cell 20 rooted in Path (20),2.398599777,1
Cell 21 rooted in Path (21),7.350694791,1
Cell 19 rooted in Path (19),8.571066498,1
Cell 17 rooted in Path (17),3.720715225,1
Cell 18 rooted in Path (18),10.14982115,1
Cell 15 rooted in Path (15),7.26774302,1
Cell 16 rooted in Path (16),3.720715225,1
Cell 13 rooted in Path (13),3.811450885,1
Cell 14 rooted in Path (14),4.313721205,1
,205.9284286,
