\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),27.11048282,1
Cell 11 rooted in Path (11),19.75200414,1
Cell 5 rooted in Path (5),2.598863067,1
Cell 12 rooted in Path (12),18.08251384,1
Cell 2 rooted in Path (2),7.42263848,1
Cell 3 rooted in Path (3),9.738286487,1
Cell 10 rooted in Path (10),8.151747949,1
Cell 1 rooted in Path (1),36.62193016,1
Cell 8 rooted in Path (8),13.39484191,1
Cell 9 rooted in Path (9),1.586538538,1
Cell 6 rooted in Path (6),17.95419424,1
Cell 7 rooted in Path (7),8.106380119,1
Cell 24 rooted in Path (24),7.7324294,1
Cell 25 rooted in Path (25),3.282604706,1
Cell 22 rooted in Path (22),2.379807807,1
Cell 23 rooted in Path (23),1.869753598,1
Cell 20 rooted in Path (20),19.01511079,1
Cell 21 rooted in Path (21),7.724645511,1
Cell 19 rooted in Path (19),8.325435379,1
Cell 17 rooted in Path (17),3.392132335,1
Cell 18 rooted in Path (18),17.7195712,1
Cell 15 rooted in Path (15),21.69370143,1
Cell 16 rooted in Path (16),8.416171039,1
Cell 13 rooted in Path (13),2.179544517,1
Cell 14 rooted in Path (14),17.35340437,1
,291.6047338,
