\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),17.57245963,1
Cell 33 rooted in Path (33),7.24895105,1
Cell 77 rooted in Path (77),21.88618083,1
Cell 5 rooted in Path (5),18.91336705,1
Cell 34 rooted in Path (34),32.81826317,1
Cell 78 rooted in Path (78),13.03968316,1
Cell 2 rooted in Path (2),17.94641035,1
Cell 31 rooted in Path (31),5.061622644,1
Cell 75 rooted in Path (75),5.681204483,1
Cell 3 rooted in Path (3),16.5601351,1
Cell 32 rooted in Path (32),30.78583022,1
Cell 76 rooted in Path (76),2.598863067,1
Cell 73 rooted in Path (73),3.766083055,1
Cell 1 rooted in Path (1),60.3104806,1
Cell 30 rooted in Path (30),21.11948742,1
Cell 74 rooted in Path (74),6.939160131,1
Cell 71 rooted in Path (71),17.84466661,1
Cell 72 rooted in Path (72),6.274210462,1
Cell 70 rooted in Path (70),13.25873842,1
Cell 8 rooted in Path (8),3.520451936,1
Cell 9 rooted in Path (9),38.23504456,1
Cell 6 rooted in Path (6),24.5492037,1
Cell 7 rooted in Path (7),8.763545899,1
Cell 28 rooted in Path (28),3.127709246,1
Cell 29 rooted in Path (29),2.972813786,1
Cell 26 rooted in Path (26),7.90611683,1
Cell 27 rooted in Path (27),4.204193575,1
Cell 24 rooted in Path (24),1.805593798,1
Cell 68 rooted in Path (68),2.882078127,1
Cell 25 rooted in Path (25),29.15392385,1
Cell 69 rooted in Path (69),8.654018269,1
Cell 22 rooted in Path (22),2.598863067,1
Cell 66 rooted in Path (66),2.224912347,1
Cell 23 rooted in Path (23),2.598863067,1
Cell 67 rooted in Path (67),5.243093963,1
Cell 20 rooted in Path (20),9.802446287,1
Cell 64 rooted in Path (64),9.027968988,1
Cell 21 rooted in Path (21),5.243093963,1
Cell 65 rooted in Path (65),9.054544848,1
Cell 62 rooted in Path (62),13.87832026,1
Cell 63 rooted in Path (63),4.714247784,1
Cell 60 rooted in Path (60),12.86599573,1
Cell 61 rooted in Path (61),12.66573244,1
Cell 19 rooted in Path (19),6.848424471,1
Cell 17 rooted in Path (17),18.19204147,1
Cell 18 rooted in Path (18),3.720715225,1
Cell 15 rooted in Path (15),27.06511499,1
Cell 59 rooted in Path (59),50.87420114,1
Cell 16 rooted in Path (16),28.76118116,1
Cell 13 rooted in Path (13),18.73967962,1
Cell 57 rooted in Path (57),8.061012289,1
Cell 14 rooted in Path (14),26.14352613,1
Cell 58 rooted in Path (58),16.97945365,1
Cell 11 rooted in Path (11),20.8738563,1
Cell 55 rooted in Path (55),13.67805697,1
Cell 12 rooted in Path (12),38.38215613,1
Cell 56 rooted in Path (56),6.364946122,1
Cell 53 rooted in Path (53),28.58749373,1
Cell 10 rooted in Path (10),18.32036107,1
Cell 54 rooted in Path (54),14.98138045,1
Cell 51 rooted in Path (51),13.7875846,1
Cell 52 rooted in Path (52),13.71564091,1
Cell 50 rooted in Path (50),15.90296932,1
Cell 48 rooted in Path (48),1.696066168,1
Cell 49 rooted in Path (49),42.48460596,1
Cell 46 rooted in Path (46),26.07936633,1
Cell 47 rooted in Path (47),7.81538117,1
Cell 44 rooted in Path (44),7.37727065,1
Cell 88 rooted in Path (88),2.863286156,1
Cell 45 rooted in Path (45),36.01013221,1
Cell 42 rooted in Path (42),3.766083055,1
Cell 86 rooted in Path (86),2.443967607,1
Cell 43 rooted in Path (43),21.30095874,1
Cell 87 rooted in Path (87),5.571676853,1
Cell 40 rooted in Path (40),3.018181616,1
Cell 84 rooted in Path (84),3.282604706,1
Cell 41 rooted in Path (41),39.53058415,1
Cell 85 rooted in Path (85),14.08959163,1
Cell 82 rooted in Path (82),14.58085387,1
Cell 83 rooted in Path (83),4.075873974,1
Cell 80 rooted in Path (80),11.93662297,1
Cell 81 rooted in Path (81),9.538023197,1
Cell 39 rooted in Path (39),11.71756771,1
Cell 37 rooted in Path (37),3.346764506,1
Cell 38 rooted in Path (38),10.75061102,1
Cell 35 rooted in Path (35),22.58871444,1
Cell 79 rooted in Path (79),23.41634346,1
Cell 36 rooted in Path (36),25.04046594,1
,1289.619968,
