\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),96.38933231,1
Cell 11 rooted in Path (11),38.24282845,1
Cell 22 rooted in Path (22),1.805593798,1
Cell 5 rooted in Path (5),2.443967607,1
Cell 12 rooted in Path (12),5.371413563,1
Cell 2 rooted in Path (2),5.197726133,1
Cell 20 rooted in Path (20),3.392132335,1
Cell 3 rooted in Path (3),12.62036461,1
Cell 10 rooted in Path (10),3.565819766,1
Cell 21 rooted in Path (21),4.249561405,1
Cell 1 rooted in Path (1),98.6472689,1
Cell 8 rooted in Path (8),9.009177018,1
Cell 9 rooted in Path (9),20.39037795,1
Cell 6 rooted in Path (6),2.908653986,1
Cell 7 rooted in Path (7),4.449824694,1
Cell 19 rooted in Path (19),3.720715225,1
Cell 17 rooted in Path (17),3.018181616,1
Cell 18 rooted in Path (18),5.854891913,1
Cell 15 rooted in Path (15),3.830242855,1
Cell 16 rooted in Path (16),5.745364283,1
Cell 13 rooted in Path (13),13.52316151,1
Cell 14 rooted in Path (14),11.45314462,1
,355.8297446,
