\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),4.404456864,1
Cell 33 rooted in Path (33),32.30042507,1
Cell 5 rooted in Path (5),5.699996453,1
Cell 34 rooted in Path (34),2.489335437,1
Cell 2 rooted in Path (2),21.25559091,1
Cell 31 rooted in Path (31),21.09291156,1
Cell 3 rooted in Path (3),15.23023576,1
Cell 32 rooted in Path (32),1.650698338,1
Cell 1 rooted in Path (1),17.66319529,1
Cell 30 rooted in Path (30),5.681204483,1
Cell 8 rooted in Path (8),10.4408201,1
Cell 9 rooted in Path (9),2.644230896,1
Cell 6 rooted in Path (6),24.55698759,1
Cell 7 rooted in Path (7),3.920978515,1
Cell 28 rooted in Path (28),7.177007361,1
Cell 29 rooted in Path (29),18.03714601,1
Cell 26 rooted in Path (26),12.31057369,1
Cell 27 rooted in Path (27),7.932692689,1
Cell 24 rooted in Path (24),5.836099942,1
Cell 25 rooted in Path (25),12.33714955,1
Cell 22 rooted in Path (22),5.571676853,1
Cell 23 rooted in Path (23),4.075873974,1
Cell 20 rooted in Path (20),1.012324529,1
Cell 21 rooted in Path (21),5.881467772,1
Cell 19 rooted in Path (19),28.94265248,1
Cell 17 rooted in Path (17),10.3125005,1
Cell 18 rooted in Path (18),4.230769434,1
Cell 15 rooted in Path (15),2.708390697,1
Cell 16 rooted in Path (16),1.869753598,1
Cell 13 rooted in Path (13),3.018181616,1
Cell 14 rooted in Path (14),17.63661943,1
Cell 11 rooted in Path (11),2.817918326,1
Cell 55 rooted in Path (55),2.443967607,1
Cell 12 rooted in Path (12),10.89772259,1
Cell 53 rooted in Path (53),3.127709246,1
Cell 10 rooted in Path (10),5.480941193,1
Cell 54 rooted in Path (54),5.617044683,1
Cell 51 rooted in Path (51),2.508127407,1
Cell 52 rooted in Path (52),12.13688626,1
Cell 50 rooted in Path (50),11.84588731,1
Cell 48 rooted in Path (48),2.070016887,1
Cell 49 rooted in Path (49),25.79937546,1
Cell 46 rooted in Path (46),6.538633552,1
Cell 47 rooted in Path (47),9.401919708,1
Cell 44 rooted in Path (44),28.47018221,1
Cell 45 rooted in Path (45),8.16275603,1
Cell 42 rooted in Path (42),5.681204483,1
Cell 43 rooted in Path (43),16.14081655,1
Cell 40 rooted in Path (40),0.528846179,1
Cell 41 rooted in Path (41),5.790732113,1
Cell 39 rooted in Path (39),4.797199554,1
Cell 37 rooted in Path (37),7.286534991,1
Cell 38 rooted in Path (38),7.003319931,1
Cell 35 rooted in Path (35),3.392132335,1
Cell 36 rooted in Path (36),13.23216256,1
,519.0939846,
